ลำดับ,รหัสวิชา,ชื่อวิชา,หน่วยกิจ,ประเภทวิชา
1,03600014-60,"Creative Problem Solving and Critical Thinking Skills
การแก้ปัญหาเชิงสร้างสรรค์และทักษะการคิดเชิงวิพากษ์",3(3-0-6),หมวดวิชาศึกษาทั่วไป 
2,03600014-65,"Creative Problem Solving and Critical Thinking Skills 
การแก้ปัญหาเชิงสร้างสรรค์และทักษะการคิดเชิงวิพากษ์",3(3-0-6),หมวดวิชาศึกษาทั่วไป 
3,01999021-60,"Thai Language for Communication
ภาษาไทยเพื่อการสื่อสาร",3(3-0-6),หมวดวิชาศึกษาทั่วไป
4,01999021-65,"Thai Language for Communication
ภาษาไทยเพื่อการสื่อสาร",3(3-0-6),หมวดวิชาศึกษาทั่วไป
5,03600013-60,"Essential Computer Tools and Skills
เครื่องมือและทักษะทางคอมพิวเตอร์ที่จำเป็น",1(0-3-2),หมวดวิชาศึกษาทั่วไป
6,03600013-65,"Essential Computer Tools and Skills
เครื่องมือและทักษะทางคอมพิวเตอร์ที่จำเป็น",1(0-3-2),หมวดวิชาศึกษาทั่วไป
7,03754111-60,"Fundamental English I 
ภาษาอังกฤษ 1 (ไม่นับหน่วยกิต)",3(3-0-6),หมวดวิชาศึกษาทั่วไป
8,03754111-65,"Fundamental English I 
ภาษาอังกฤษ 1 (ไม่นับหน่วยกิต)",3(3-0-6),หมวดวิชาศึกษาทั่วไป
9,03754112-60,"Fundamental English II 
ภาษาอังกฤษ II",3(3-0-6),หมวดวิชาศึกษาทั่วไป
10,03754112-65,"Fundamental English II 
ภาษาอังกฤษ II",3(3-0-6),หมวดวิชาศึกษาทั่วไป
11,03754113-60,"Fundamental English III
ภาษาอังกฤษ III",3(3-0-6),หมวดวิชาศึกษาทั่วไป
12,03754113-65,"Fundamental English III
ภาษาอังกฤษ III",3(3-0-6),หมวดวิชาศึกษาทั่วไป
13,01999111-60,"Knowledge of the Land 
ศาสตร์แห่งแผ่นดิน",2(2-0-4),หมวดวิชาศึกษาทั่วไป
14,01999111-65,"Knowledge of the Land 
ศาสตร์แห่งแผ่นดิน",2(2-0-4),หมวดวิชาศึกษาทั่วไป
15,03600012-60,"Green Technology 
เทคโนโลยีสีเขียว",3(3-0-6),หมวดวิชาศึกษาทั่วไป
16,03600012-65,"Green Technology 
เทคโนโลยีสีเขียว",3(3-0-6),หมวดวิชาศึกษาทั่วไป
17,01417167-60,"Engineering Mathematics I 
คณิตศาสตร์วิศวกรรม I",3(3-0-6),หมวดวิชาเฉพาะ
18,01417167-65,"Engineering Mathematics I 
คณิตศาสตร์วิศวกรรม I",3(3-0-6),หมวดวิชาเฉพาะ
19,01417168-60,"Engineering Mathematics II 
คณิตศาสตร์วิศวกรรม II",3(3-0-6),หมวดวิชาเฉพาะ
20,01417168-65,"Engineering Mathematics II 
คณิตศาสตร์วิศวกรรม II",3(3-0-6),หมวดวิชาเฉพาะ
21,01417267-60,"Engineering Mathematics III 
คณิตศาสตร์วิศวกรรม III",3(3-0-6),หมวดวิชาเฉพาะ
22,01417267-65,"Engineering Mathematics III 
คณิตศาสตร์วิศวกรรม III",3(3-0-6),หมวดวิชาเฉพาะ
23,01420111-60,"General Physics I 
ฟิสิกส์ทั่วไป I",3(3-0-6),หมวดวิชาเฉพาะ
24,01420111-65,"General Physics I 
ฟิสิกส์ทั่วไป I",3(3-0-6),หมวดวิชาเฉพาะ
25,01420112-60,"General Physics II 
ฟิสิกส์ทั่วไป II",3(3-0-6),หมวดวิชาเฉพาะ
26,01420112-65,"General Physics II 
ฟิสิกส์ทั่วไป II",3(3-0-6),หมวดวิชาเฉพาะ
27,01420113-60,"Laboratory in Physics I 
ปฏิบัติการฟิสิกส์ I",1(0-3-2),หมวดวิชาเฉพาะ
28,01420113-65,"Laboratory in Physics I 
ปฏิบัติการฟิสิกส์ I",1(0-3-2),หมวดวิชาเฉพาะ
29,01420114-60,"Laboratory in Physics II 
ปฏิบัติการฟิสิกส์ II",1(0-3-2),หมวดวิชาเฉพาะ
30,01420114-65,"Laboratory in Physics II 
ปฏิบัติการฟิสิกส์ II",1(0-3-2),หมวดวิชาเฉพาะ
