รหัสวิชา,ชื่อวิชา,หน่วยกิจ,
03600012-55,"Green Technology
เทคโนโลยีสีเขียว",3(3-0-6),
03600013-55,"Computer Software and Applications
คอมพิวเตอร์ซอฟต์แวร์และการประยุกต์",1(0-3-2),
03600014-55,"Creative Problem Solving and Critical Thinking Skills
การแก้ปัญหาเชิงสร้างสรรค์และทักษะการคิดเชิงวิพากษ์",3(3-0-6),
01999011-55,"Food for Mankind
อาหารเพื่อมนุษยชาติ",3(3-0-6),
01999012-55,"Health for Life
สุขภาพเพื่อชีวิต",3(3-0-6),
01999213-55,"Environment, Technology and Life
สิ่งแวดล้อม เทคโนโลยีและชีวิต",3(3-0-6),
01999021-55,"Thai Language for Communication
ภาษาไทยเพื่อการสื่อสาร",3(3-0-6),
01355111-55,"Foundation English I
ภาษาอังกฤษ 1 (ไม่นับหน่วยกิต)",3(3-0-6),
01355112-55,"Foundation English II
ภาษาอังกฤษ 2",3(3-0-6),
01355113-55,"Foundation English III
ภาษาอังกฤษ 3",3(3-0-6),
01355xxx-55,กลุ่มวิชาภาษาอังกฤษ (01355xxx),3(3-0-6),
01999041-55,"Economics for Better Living
เศรษฐศาสตร์เพื่อการดำเนินชีวิตที่ดี",3(3-0-6),
01999141-55,"Man and Society
มนุษย์กับสังคม",3(3-0-6),
01999031-55,"The Heritage of World Civilizations
มรดกอารยธรรมโลก",3(3-0-6),
01999032-55,"Thai Studies
ไทยศึกษา",3(3-0-6),
01999033-55,"Arts of Living
ศิลปะการดำเนินชีวิต",3(3-0-6),
01175xxx-55,"กิจกรรมพลศึกษา
กิจกรรมพลศึกษา",1(0-2-1),
01417167-55,"Engineering Mathematics I
คณิตศาสตร์วิศวกรรม I",3(3-0-6),
01417168-55,"Engineering Mathematics II
คณิตศาสตร์วิศวกรรม II",3(3-0-6),
01417267-55,"Engineering Mathematics III
คณิตศาสตร์วิศวกรรม III",3(3-0-6),
01420111-55,"General Physics I
ฟิสิกส์ทั่วไป I",3(3-0-6),
01420112-55,"General Physics II
ฟิสิกส์ทั่วไป II",3(3-0-6),
01420113-55,"Laboratory in Physics I
ปฏิบัติการฟิสิกส์ I",1(0-3-2),
01420114-55,"Laboratory in Physics II
ปฏิบัติการฟิสิกส์ II",1(0-3-2),
03601201-55,"Introduction to Electrical Engineering
วิศวกรรมไฟฟ้าเบื้องต้น",3(3-0-6),
03601202-55,"Electrical Engineering Laboratory I
ปฏิบัติการวิศวกรรมไฟฟ้า I",1(0-3-6),
03603111-55,"Programming Fundamentals I
หลักการโปรแกรมเบื้องต้น I",3(2-3-6),
03604111-55,"Engineering Drawing
การเขียนแบบทางวิศวกรรม",3(2-3-6),
03604201-55,"Basic Principles of Engineering Mechanics
หลักพื้นฐานทางกลศาสตร์วิศวกรรม",3(3-0-6),
03603352-55,"Laws and Ethics in Information Technology
กฎหมายและจริยธรรมทางเทคโนโลยีสารสนเทศ",3(3-0-6),
03603225-55,"Web Technology Laboratory
ปฏิบัติการเทคโนโลยีเว็บ",1(0-3-2),
03603251-55,"Database Systems
ระบบฐานข้อมูล",3(3-0-6),
03603252-55,"Database Systems Laboratory
ปฏิบัติการระบบฐานข้อมูล",1(0-3-2),
03603112-55,"Programming Fundamentals II
หลักการโปรแกรมเบื้องต้น II",3(2-3-6),
03603212-55,"Abstract Data Types and Problem Solving
แบบชนิดข้อมูลนามธรรมและการแก้ปัญหา",3(3-0-6),
03603213-55,"Algorithm Design and Analysis
การออกแบบและวิเคราะห์ขั้นตอนวิธี",3(3-0-6),
03603214-55,"Programming Skills Development Laboratory
ปฏิบัติการพัฒนาทักษะการโปรแกรม",1(0-3-2),
03603341-55,"Software Engineering
วิศวกรรมซอฟต์แวร์",4(3-3-8),
03603211-55,"Discrete Mathematics
คณิตศาสตร์เต็มหน่วย",3(3-0-6),
03603312-55,"Probability and Random Processes for Computer Engineers
ความน่าจะเป็นและกระบวนการสุ่มสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),
03603325-55,"Data Communications
การสื่อสารข้อมูล",3(3-0-6),
03603332-55,"Operating Systems
ระบบปฏิบัติการ",3(3-0-6),
03603371-55,"Digital Signal Processing for Computer Engineers
การประมวลผลสัญญาณดิจิทัลสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),
03603421-55,"Computer Networks
เครือข่ายคอมพิวเตอร์",3(3-0-6),
03601203-55,"Electronics for Computer Engineers
อิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),
03601303-55,"Electronics Laboratory for Computer Engineers
ปฏิบัติการอิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",1(0-3-2),
03603221-55,"Digital Systems Design
การออกแบบระบบดิจิทัล",3(3-0-6),
03603222-55,"Logic Circuit Laboratory
ปฏิบัติการวงจรตรรก",1(0-3-2),
03603223-55,"Computer Architecture and Organization
สถาปัตยกรรมและการจัดระบบคอมพิวเตอร์",3(3-0-6),
03603321-55,"Microcontroller and Microprocessor System Design
การออกแบบระบบไมโครคอนโทรลเลอร์และระบบไมโครโปรเซสเซอร์",3(3-0-6),
03603322-55,"Computer System Laboratory
ปฏิบัติการระบบคอมพิวเตอร์",1(0-3-2),
03603495-55,"Computer Engineering and Informatics Project Preparation
การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1(0-3-2),
03603497-55,"Seminar
สัมมนา",1,
03603499-55,"Computer Engineering and Informatics Project
โครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",2(0-6-3),
03603323-55,"Embedded Systems
ระบบฝังตัว",3(3-0-6),
03603351-55,"Introduction to Data Science
วิทยาศาสตร์ข้อมูลเบื้องต้น",3(3-0-6),
03603372-55,"Digital Image Processing
การประมวลผลภาพดิจิทัล",3(3-0-6),
03603423-55,"Network Programming
การโปรแกรมเครือข่าย",3(3-0-6),
03603424-55,"Computer Networks Laboratory I
ปฏิบัติการเครือข่ายคอมพิวเตอร์ I",1(0-3-2),
03603425-55,"Computer Networks Laboratory II
ปฏิบัติการเครือข่ายคอมพิวเตอร์ II",1(0-3-2),
03603426-55,"Computer Security
ความปลอดภัยในระบบคอมพิวเตอร์",3(3-0-6),
03603427-55,"Mobile Computing
ระบบคอมพิวเตอร์เคลื่อนที่",3(3-0-6),
03603428-55,"Internet of Things
อินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6),
03603432-55,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6),
03603451-55,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6),
03603461-55,"Artificial Intelligence
ปัญญาประดิษฐ์",3(3-0-6),
